20201223,杨浦,黄兴公园,黄兴公园好地段 2房1厅 精装修 满五年唯一，近8号线,330万,2室1厅 | 55.03平米 | 南 北 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3ac3e506-0577-413a-9d17-ce48b2c33c0d_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,怡佳苑 2室1厅 南 北,470万,2室1厅 | 68.25平米 | 南 北 | 精装 | 中楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/de3e2607-f08d-44ef-a3e0-54b537f35058_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,控江东三村 2室1厅 南新上,245万,2室1厅 | 41.02平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lYQnA5rfV_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,中间楼层+小两房+朝南+楼间距大+售后公房+ 诚意出售新上,231万,2室0厅 | 40.97平米 | 南 | 毛坯 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_efM0evXpJ.jpg.296x216.jpg
20201223,杨浦,黄兴公园,控江四村 2室1厅 南新上,480万,2室1厅 | 74.01平米 | 南 | 精装 | 中楼层(共7层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TdNmdutlu_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,看房提前约，房东诚心出售，价钱可以房主自荐,885万,3室2厅 | 128.6平米 | 东 南 | 精装 | 低楼层(共9层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_mxwPVMh6j_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,近黄兴公园地铁站，南北通三房，诚意出售房主自荐,1100万,3室2厅 | 136.01平米 | 南 | 精装 | 高楼层(共17层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/cd7396c7-3339-4d9b-b5f5-ebff95e5300d_1000.jpg.296x216.jpg
20201223,杨浦,黄兴公园,黄兴公园地铁口叠复   业主诚意出售,1498万,4室2厅 | 193平米 | 南 | 简装 | 低楼层(共3层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CFZtEL8t9_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,一室一厅，采光好，通透格局，配套设施齐全，一梯三户,298.7万,1室1厅 | 46.92平米 | 南 | 精装 | 中楼层(共7层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Mm3Zd8QTJ_1.jpg.296x216.jpg
20201223,杨浦,黄兴公园,怡佳苑 1室1厅 南 北房主自荐,320万,1室1厅 | 53.03平米 | 南 北 | 精装 | 中楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/62a035bf-70e1-476a-b62f-c8845d1a31b5_1000.jpg.296x216.jpg
