20201223,长宁,北新泾,地铁口+低总价+满五+好楼层，低总价地铁好房房主自荐,210万,1室1厅 | 31.31平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tefuVRuaL_1.jpg.296x216.jpg
20201223,长宁,北新泾,北新泾地铁口， 满五唯一，复式结构，有产权车位不含房主自荐,970万,3室2厅 | 220.95平米 | 南 | 精装 | 低楼层(共14层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DDAA8co0x_1.jpg.296x216.jpg
20201223,长宁,北新泾,景观房，采光没有遮挡，视野开阔。,770万,3室2厅 | 119.76平米 | 南 北 | 简装 | 低楼层(共13层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xcheacsHQ_1.jpg.296x216.jpg
20201223,长宁,北新泾,飞机户型，一梯两户。采光好，通风好，视野开阔。,480万,3室2厅 | 94.47平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gn8zQpItf_1.jpg.296x216.jpg
20201223,长宁,北新泾,经典大三房+满五唯一税费少+地铁+看房方便房主自荐,1200万,3室2厅 | 163.99平米 | 南 | 精装 | 低楼层(共14层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ciUPmbZqN_1.jpg.296x216.jpg
20201223,长宁,北新泾,精装修，南北通，一梯两户，楼层好，采光无遮挡房主自荐,725万,3室2厅 | 131.55平米 | 南 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_638NpLQt6_1.jpg.296x216.jpg
20201223,长宁,北新泾,淞虹路地铁500米，三房两厅两卫，小区中间看房方便房主自荐,850万,3室2厅 | 126.22平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1NFITJUY7_1.jpg.296x216.jpg
20201223,长宁,北新泾,刚需小三房，房型正，采光通风好!房主自荐,520万,3室1厅 | 72.23平米 | 南 北 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wsvtRi5SX_1.jpg.296x216.jpg
20201223,长宁,北新泾,商品房+二手买进税低+顶楼复式复式+带阁楼+带露台！房主自荐,958万,4室2厅 | 159.02平米 | 南 | 简装 | 高楼层(共5层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dKddAIpoM_1.jpg.296x216.jpg
20201223,长宁,北新泾,离地铁站近，交通方便，满五唯一。,435万,3室1厅 | 81.91平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-91d80c4b-f2aa-4a56-928a-f069e13b99d6.jpg.296x216.jpg
20201223,长宁,北新泾,电梯房  南北通风   全明户型   南北双阳,625万,2室2厅 | 111平米 | 南 | 简装 | 高楼层(共12层) | 2000年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_SIam2uq2Q_1.jpg.296x216.jpg
20201223,长宁,北新泾,满二+南北通+采光足+视野无遮挡+交通便利+总价低房主自荐,230万,1室1厅 | 49.02平米 | 南 北 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5gv8vuImE_1.jpg.296x216.jpg
20201223,长宁,北新泾,邻西郊百联，户型正气，底楼带花园房主自荐,290万,1室1厅 | 47.16平米 | 南 | 简装 | 低楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_K7aWZcRLn_1.jpg.296x216.jpg
20201223,长宁,北新泾,近地铁双南两房，电梯房中间楼层，精装修看房方便房主自荐,498万,2室1厅 | 86.65平米 | 南 | 精装 | 低楼层(共13层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_WDXLzBqHW_1.jpg.296x216.jpg
20201223,长宁,北新泾,近地铁，采光效果好，配套齐全，一梯两户房主自荐,305万,1室1厅 | 50.9平米 | 南 | 毛坯 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5ph60jc1v_1.jpg.296x216.jpg
20201223,长宁,北新泾,复式房！2号线地铁口，诚意急售！精装修！房主自荐,620万,2室2厅 | 84.19平米 | 南 | 精装 | 低楼层(共13层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_giIfXdDZR_1.jpg.296x216.jpg
20201223,长宁,北新泾,满五唯一  精美装修  凤凰楼层  双南全明  精美装修新上,420万,2室1厅 | 74.99平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2TA8L3Qc2_1.jpg.296x216.jpg
20201223,长宁,北新泾,纯商品房，税费少，朝小区花园，位置佳，好楼层,850万,3室2厅 | 120.44平米 | 南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_igCbgNyjf_1.jpg.296x216.jpg
20201223,长宁,北新泾,近地铁，边套全明，采光充足，楼层好，配套齐全新上,270万,1室1厅 | 41.31平米 | 南 | 精装 | 中楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Al23dLsL5_1.jpg.296x216.jpg
20201223,长宁,北新泾,2000年商品房小区 建筑类白玉兰奖得主 阁楼 适存新上,640万,2室2厅 | 85.54平米 | 南 北 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-fc446456-2bfb-4421-8017-db37d524d90c.png.296x216.jpg
20201223,长宁,北新泾,精品小区，满五唯一，小区中间位置采光好，新上,245万,1室1厅 | 47.34平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pbhdfS4Sq_1.jpg.296x216.jpg
20201223,长宁,北新泾,两开间朝南  带双阳台 得房率83.9%  精装修 采光充足,395万,2室1厅 | 73.7平米 | 南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_M9LHoujNy_1.jpg.296x216.jpg
20201223,长宁,北新泾,此房税费少，通透性好， 全明户型 小区环境好，近地铁,585万,2室2厅 | 111.08平米 | 南 | 简装 | 低楼层(共12层) | 2000年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_rt6yiEbay_1.jpg.296x216.jpg
20201223,长宁,北新泾,店长推荐 边套全明 自住精装 前后无遮挡房主自荐,390万,2室1厅 | 64平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_agsxAhAdt_1.jpg.296x216.jpg
20201223,长宁,北新泾,贝壳优选，业主诚意出售，看房随时，产权清晰房主自荐,360万,2室1厅 | 61.52平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2OAPsNB8l_1.jpg.296x216.jpg
20201223,长宁,北新泾,铭晖西郊，三期电梯房，三开间朝南，户型正气，近地铁,740万,2室2厅 | 97.57平米 | 南 | 精装 | 低楼层(共8层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Dyum5jklR_1.jpg.296x216.jpg
20201223,长宁,北新泾,店长推荐！双阳台！得房率高！户型板正！房主自荐,405万,3室1厅 | 73.95平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6ClYjCVEn_1.jpg.296x216.jpg
20201223,长宁,北新泾,店长推荐一梯两户东边套全明，精装修，小区环境整洁房主自荐,355万,2室1厅 | 57.78平米 | 南 北 | 精装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NRuPnwRng_1.jpg.296x216.jpg
20201223,长宁,北新泾,小区中间位置，楼层好，双南两房，楼间距大采光好房主自荐,358万,2室1厅 | 61.82平米 | 南 | 精装 | 低楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rPS3KA8cW_1.jpg.296x216.jpg
20201223,长宁,北新泾,满五年唯一，税费少，楼层好，视野宽阔，交通便利房主自荐,286万,1室1厅 | 47.38平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UuIWzc0Nq_1.jpg.296x216.jpg
20201223,长宁,北新泾,精选正规一房，中间楼层，视野好，诚意出售房主自荐,290万,1室1厅 | 54.31平米 | 南 北 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Z4Qou9l8i_1.jpg.296x216.jpg
