20201223,杨浦,鞍山,两房朝南一房朝北，一梯两户 97年原建房 诚心出售房主自荐,709万,3室1厅 | 98.33平米 | 南 | 精装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_17iv32pY4_1.jpg.296x216.jpg
20201223,杨浦,鞍山,售后公房，内环内，  书香之地，双轨交通，高区景观房主自荐,685万,2室1厅 | 83.83平米 | 南 | 简装 | 高楼层(共18层) | 1989年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_SJUYUcdqh_1.jpg.296x216.jpg
20201223,杨浦,鞍山,打一朝南一门关，居家装修，1997房龄新，看房方便房主自荐,330万,1室1厅 | 49.11平米 | 南 | 精装 | 中楼层(共5层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_u93IczPBn_1.jpg.296x216.jpg
20201223,杨浦,鞍山,此房满五唯一，1994年原建，近8号10号，诚意出房主自荐,360万,2室0厅 | 46.16平米 | 南 北 | 简装 | 中楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_t6NX8j9p3_1.jpg.296x216.jpg
20201223,杨浦,鞍山,满五唯一，税费少，附带大天井采光通风好。房主自荐,660万,2室1厅 | 66.05平米 | 南 | 精装 | 低楼层(共20层) | 1988年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_3p9SqPOQM_1.jpg.296x216.jpg
20201223,杨浦,鞍山,南北全明户型+精装修+不靠马路+诚意出售+双地铁,325万,1室1厅 | 33.95平米 | 南 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9JdtGMbL6_1.jpg.296x216.jpg
20201223,杨浦,鞍山,户型正气，阳光无遮挡，远离马路，满五年唯一，税少！,710万,2室2厅 | 86.85平米 | 南 | 精装 | 低楼层(共25层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ji9FpI6wo_1.jpg.296x216.jpg
20201223,杨浦,鞍山,鞍山七村 美丽家园小区 中间层大三房房主自荐,610万,3室1厅 | 91.65平米 | 西南 | 简装 | 中楼层(共6层) | 1961年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PpJNFcCmO_1.jpg.296x216.jpg
20201223,杨浦,鞍山,二期板楼，对望东方明珠，俯瞰和平公园，无贷款抵押房主自荐,1400万,3室2厅 | 137.29平米 | 西南 | 精装 | 高楼层(共38层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_140Ny2O68_1.jpg.296x216.jpg
20201223,杨浦,鞍山,同济新村 2室2厅 南,665万,2室2厅 | 66.9平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iVkrOiLWJ_1.jpg.296x216.jpg
20201223,杨浦,鞍山,公交新村，同.济小三房，诚意出售房主自荐,600万,3室0厅 | 66.44平米 | 南 | 简装 | 低楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ERTGNAeri_1.jpg.296x216.jpg
20201223,杨浦,鞍山,宝宝专用+拎包入住+近地铁+房龄新，提前约好看房新上,280万,1室0厅 | 32.78平米 | 南 | 简装 | 低楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VLo6cvBFG_1.jpg.296x216.jpg
20201223,杨浦,鞍山,满五唯一，精装修，四开间朝南，中间楼层，视野采光好,1300万,3室2厅 | 145.92平米 | 南 | 精装 | 中楼层(共17层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ym3R4QVP3_1.jpg.296x216.jpg
20201223,杨浦,鞍山,1994年房龄＋打一＋精装修＋8号线和10号线双轨交通房主自荐,248万,1室0厅 | 33.41平米 | 南 | 精装 | 高楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tXwOiIT5V_1.jpg.296x216.jpg
20201223,杨浦,鞍山,鞍山五村 1室1厅 南,260万,1室1厅 | 39.08平米 | 南 | 毛坯 | 中楼层(共5层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LfWDaxRJV_1.jpg.296x216.jpg
20201223,杨浦,鞍山,81原建房，房龄新，双南，采光优越新上,398万,2室1厅 | 51.6平米 | 南 | 毛坯 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Bc0DBuwsF_1.jpg.296x216.jpg
20201223,杨浦,鞍山,内环内+明饿还在！近地铁8号线+新华医院！产权清晰房主自荐,670万,2室2厅 | 114.19平米 | 西南 | 精装 | 高楼层(共25层) | 1998年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-791092de-8992-4505-8e60-e9e98e989b74.jpg.296x216.jpg
20201223,杨浦,鞍山,西边套全明，满五唯一税费低，近地铁，近商圈,259万,1室1厅 | 39.34平米 | 南 | 简装 | 高楼层(共6层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2e3bHaIOj.jpg.296x216.jpg
