20201223,杨浦,五角场,五角场南北户型，通风采光好，精装可拎包入住，诚售房主自荐,330万,2室1厅 | 53.09平米 | 南 北 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pkWW7WNc7.jpg.296x216.jpg
20201223,杨浦,五角场,此房满五唯一+边套全明+楼层好+产权清晰+诚意出售,330万,2室0厅 | 50.29平米 | 南 | 简装 | 中楼层(共5层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xEPpeTkBG_1.jpg.296x216.jpg
20201223,杨浦,五角场,满五唯一，精装修，交通便利，配套设施齐全,450万,2室2厅 | 63.94平米 | 东 东南 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JJsWhNzPz_1.jpg.296x216.jpg
20201223,杨浦,五角场,房子满五唯一+售后公房+诚意卖房+楼层好,325万,2室0厅 | 49平米 | 南 | 其他 | 中楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8bVjtu7LM_1.jpg.296x216.jpg
20201223,杨浦,五角场,三门路358弄 2室1厅 南,375万,2室1厅 | 62.14平米 | 南 | 精装 | 中楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Zbqm3FWk9_1.jpg.296x216.jpg
20201223,杨浦,五角场,精装修，中间楼层，采光好，步行商圈房主自荐,188万,1室1厅 | 29.77平米 | 南 | 精装 | 中楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wSPUJ3Weq.jpg.296x216.jpg
20201223,杨浦,五角场,财大精装边套 户型方正 南北朝向 采光颜值不要太好,383万,2室1厅 | 58.52平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CtJhPXqzG.jpg.296x216.jpg
20201223,杨浦,五角场,次新小区，双南两房，五角场街道,480万,2室1厅 | 64.57平米 | 南 | 精装 | 低楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_S1tPf5SmX.jpg.296x216.jpg
20201223,杨浦,五角场,此房源为五角场街道，较少户型，出租或自住都适宜居住房主自荐,348万,1室1厅 | 56.35平米 | 南 | 简装 | 高楼层(共7层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ukEwh2x0f_1.jpg.296x216.jpg
20201223,杨浦,五角场,1996年，满五不唯一，房龄新，采光好房主自荐,290万,1室1厅 | 43.89平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GzvFJ6qfz.jpg.296x216.jpg
20201223,杨浦,五角场,五角场街道，楼层好，采光好，视野无遮挡，看房方便，,295万,1室1厅 | 44.96平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_okaFO2k2M.jpg.296x216.jpg
20201223,杨浦,五角场,五角场街道、南北通、精装修、拎包入住,255万,1室1厅 | 38.8平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yke1riEXg_1.jpg.296x216.jpg
20201223,杨浦,五角场,精装，拎包入住，五角场街道，近复旦，财大,220万,1室1厅 | 33.63平米 | 南 | 精装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ABHrBcXbP_1.jpg.296x216.jpg
20201223,杨浦,五角场,三门路358弄 1室1厅 南,253万,1室1厅 | 42.35平米 | 南 | 简装 | 中楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wJPU3ap9J_1.jpg.296x216.jpg
20201223,杨浦,五角场,满五唯一，边套全明，采光无遮挡，楼层适中,295万,1室1厅 | 44.38平米 | 南 北 | 精装 | 中楼层(共4层) | 1976年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zEmuipfGd_1.jpg.296x216.jpg
20201223,杨浦,五角场,五角场高区两室两卫户型，您细品！！！,810万,2室2厅 | 110.23平米 | 南 | 简装 | 高楼层(共12层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nV81kKwCP.jpg.296x216.jpg
20201223,杨浦,五角场,五角场，次新房，电梯高层，采光好，户型方正,770万,2室2厅 | 97.21平米 | 南 | 简装 | 中楼层(共14层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_c3vSyCTgX.jpg.296x216.jpg
20201223,杨浦,五角场,优质两房，南北户型，满五唯一，中间楼层,460万,2室1厅 | 69.06平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AGfSqgKwX_1.jpg.296x216.jpg
20201223,杨浦,五角场,2006年次新小区，近地铁，采光好,980万,4室2厅 | 102.31平米 | 南 | 精装 | 高楼层(共5层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JklTAx4jX_1.jpg.296x216.jpg
