20201223,闵行,闵浦,浦江馨都近地铁中间楼层毛坯一房房主自荐,198万,1室1厅 | 57.89平米 | 南 | 毛坯 | 低楼层(共17层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_y5z81wRp1_1.jpg.296x216.jpg
20201223,闵行,闵浦,复式户型正气、配套完善、出行交通都便利，环境整洁房主自荐,490万,2室2厅 | 99.41平米 | 南 北 | 简装 | 低楼层(共14层) | 2010年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_R5oJGD3Xa_1.jpg.296x216.jpg
20201223,闵行,闵浦,配套齐全优质环境小区，近地铁，宜居好家园房主自荐,405万,3室2厅 | 122平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_c4UmU0VjE.jpg.296x216.jpg
20201223,闵行,闵浦,原始动迁，税费少，改善大三房，小区中间，有钥匙,369万,3室2厅 | 107.97平米 | 南 | 毛坯 | 低楼层(共14层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3nM1ah09q.jpg.296x216.jpg
20201223,闵行,闵浦,近商场地铁，精装修拎包入住，视野采光毫不遮挡,286万,2室1厅 | 84.64平米 | 南 | 精装 | 高楼层(共14层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2flP0bfyY.jpg.296x216.jpg
20201223,闵行,闵浦,原始动迁税费少，浦江少有的落地阳台小区，看房随时。房主自荐,298万,2室2厅 | 79.94平米 | 南 北 | 毛坯 | 高楼层(共14层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ziv2bXBja.jpg.296x216.jpg
20201223,闵行,闵浦,此房满五唯一，产权清晰，业主诚心出售，出行方便,291万,2室1厅 | 78平米 | 南 | 毛坯 | 高楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5zcFO4WMo.jpg.296x216.jpg
20201223,闵行,闵浦,满五不唯一，南北通风，精装修，保养好，出门就是地铁,296万,2室2厅 | 73.18平米 | 南 | 简装 | 低楼层(共6层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gq6PUjiQM_1.jpg.296x216.jpg
20201223,闵行,闵浦,南北通两房，采光好，边套前后无遮挡，简装，原始动迁房主自荐,215万,2室1厅 | 76.04平米 | 南 北 | 简装 | 低楼层(共7层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OKCUl8DNC_1.jpg.296x216.jpg
20201223,闵行,闵浦,2014年双南户型，采光好，诚心出售房主自荐,219万,2室1厅 | 77.73平米 | 南 | 毛坯 | 低楼层(共18层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NmLqcOJUy.jpg.296x216.jpg
20201223,闵行,闵浦,沿河景观，边套，通风好，采光好，原动迁税少房主自荐,202万,2室1厅 | 73.97平米 | 南 | 毛坯 | 低楼层(共14层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xWonowMji_1.jpg.296x216.jpg
20201223,闵行,闵浦,原始动迁，税费少；小区位置好，前后遮挡。,256万,2室1厅 | 74.26平米 | 南 北 | 毛坯 | 低楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EPVaMGldA_1.jpg.296x216.jpg
20201223,闵行,闵浦,聚缘北庭.交通便利.小区中间位置.房东诚意出售,157万,1室1厅 | 56.29平米 | 南 | 毛坯 | 低楼层(共11层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZbYBMRqEq_1.jpg.296x216.jpg
20201223,闵行,闵浦,精装修zhongyang空调+地暖 满五唯一  品质小区房主自荐,495万,3室2厅 | 91.75平米 | 南 北 | 精装 | 高楼层(共13层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cWPkwvep9_1.jpg.296x216.jpg
20201223,闵行,闵浦,汇颂南苑，新 上毛坯双南两房，中 心位置，看房方便房主自荐,265万,2室2厅 | 77.11平米 | 南 北 | 毛坯 | 中楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uXgXk7B5o.jpg.296x216.jpg
20201223,闵行,闵浦,精装修 厨卫全明、两房朝南 紧凑型两室户，书房,435万,3室1厅 | 81.73平米 | 南 | 精装 | 低楼层(共12层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VJWwGN6fA_1.jpg.296x216.jpg
20201223,闵行,闵浦,满五唯一 精装修 南北通 闵瑞路站800米,275万,2室2厅 | 75.19平米 | 南 | 精装 | 低楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LYwqvYAXn_1.jpg.296x216.jpg
20201223,闵行,闵浦,精装一房，距离地铁90米，生活配套完善，房龄新。房主自荐,198万,1室1厅 | 55.65平米 | 南 | 精装 | 中楼层(共11层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gLrUuMPsZ_1.jpg.296x216.jpg
20201223,闵行,闵浦,此房一手动迁 税费少 得房率高 业主诚心出售..房主自荐,232万,2室1厅 | 74.31平米 | 南 北 | 毛坯 | 低楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_o4d9fVWCm_1.jpg.296x216.jpg
20201223,闵行,闵浦,大两房，大卧室，采光好，配套好,270万,2室1厅 | 89平米 | 南 | 毛坯 | 低楼层(共18层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oqUSLLhEr_1.jpg.296x216.jpg
20201223,闵行,闵浦,南北通户型，南北双阳台，户型好税费少，近地铁站房主自荐,270万,2室1厅 | 75.78平米 | 南 | 毛坯 | 低楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KdyMPb01A_1.jpg.296x216.jpg
20201223,闵行,闵浦,高区次顶楼，精装双南沿河景观房，采光通风都很好房主自荐,293万,2室1厅 | 77.11平米 | 南 | 精装 | 高楼层(共17层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2cWk6Jmg0.jpg.296x216.jpg
20201223,闵行,闵浦,一楼带地下室、精装修、拎包入住好房源、出行方便房主自荐,590万,3室2厅 | 140.31平米 | 南 | 精装 | 低楼层(共12层) | 2010年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-258fcacf-36bb-4fc2-8dad-e3b82458d9b0.jpg.296x216.jpg
20201223,闵行,闵浦,满五唯一原始动迁 没住过人 有钥匙随时可看,171万,1室1厅 | 51.96平米 | 南 | 毛坯 | 高楼层(共6层) | 2010年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_bKaLrMKBf.jpg.296x216.jpg
