20201223,徐汇,徐家汇,徐家汇花园三期朝南大一房！大面宽，精装，诚意出售。,858万,1室1厅 | 84.7平米 | 南 | 精装 | 低楼层(共31层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mU2iJBP2A_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,独立小院，一梯两户，房龄新近地铁，全明，看房有钥匙,862万,3室2厅 | 125.8平米 | 南 | 精装 | 中楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9380fd20-2cef-452d-ba70-baf8c32f216b_1000.jpg.296x216.jpg
20201223,徐汇,徐家汇,小区欧式风格建造、房型好、近徐家汇商圈、三轨交汇房主自荐,1350万,4室2厅 | 153.08平米 | 南 | 简装 | 低楼层(共16层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-4d11f843-831d-454d-8476-425aae47fb27.jpg.296x216.jpg
20201223,徐汇,徐家汇,新装修可拎包入住加房子在小区位置较好,288万,1室1厅 | 37.67平米 | 南 | 精装 | 低楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DzoSJCUpy_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,摩根斯坦利设计精装修2房+板式户型方正+税费低,1519万,2室2厅 | 110.91平米 | 南 | 精装 | 高楼层(共33层) | 2007年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/b2a631d3-43ea-48b4-8fa5-1e706bbfcc14_1000.jpg.296x216.jpg
20201223,徐汇,徐家汇,滚烫地段，配套成熟，边套全明两房一厅，业主诚意出售房主自荐,570万,2室1厅 | 56.74平米 | 东 西 | 简装 | 低楼层(共7层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_V4pK8llhm_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,舒适三房+视野开阔+配套齐全（3,4,9号线）新上,800万,3室1厅 | 103.53平米 | 南 | 精装 | 高楼层(共18层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_DnczuEA8E_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,百万精装修，南北通风好，人车分流，带产权车位房主自荐,4250万,4室2厅 | 333.4平米 | 南 | 精装 | 中楼层(共32层) | 2012年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_NubVb0ZJt_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,带50平大花园，带2个车位，采光好，交大付小房主自荐,2200万,4室2厅 | 215平米 | 南 北 | 精装 | 低楼层(共14层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oQygoFZ9r_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,全天采光 闹中取静 满五年唯一 看房方便 签约随时房主自荐,498万,2室1厅 | 53.01平米 | 南 | 精装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yo3MX8PUi_1.jpg.296x216.jpg
