20201223,徐汇,华东理工,”教授楼‘‘院长楼“挨八角亭，物华天宝，人杰地灵房主自荐,595万,3室1厅 | 84.88平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0oPYVWfy5_1.jpg.296x216.jpg
20201223,徐汇,华东理工,梅陇七村 1室1厅 南 北新上,288万,1室1厅 | 49.22平米 | 南 北 | 精装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hFhhtnfks_1.jpg.296x216.jpg
20201223,徐汇,华东理工,满五唯一  小区好位置 非顶楼 视野采光好 诚售房主自荐,305万,1室1厅 | 61.01平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-329afe2d-c69f-427d-94d1-0a1b06b4952b.jpg.296x216.jpg
20201223,徐汇,华东理工,满五唯一，中间楼层，看房方便，诚意出售,405万,1室1厅 | 76.16平米 | 东 | 简装 | 中楼层(共18层) | 1996年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_mzX7xh14I_1.jpg.296x216.jpg
20201223,徐汇,华东理工,满五唯一、双南两房、业主诚售，采光优质，,545万,2室2厅 | 78.7平米 | 南 | 简装 | 6层 | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ru2ST3sZb_1.jpg.296x216.jpg
20201223,徐汇,华东理工,满五唯一，双南全明，厨卫带窗，正气户型，配套齐全。房主自荐,485万,2室1厅 | 90.82平米 | 南 | 精装 | 20层 | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_SardClWoN_1.jpg.296x216.jpg
20201223,徐汇,华东理工,此房为双南大二房，楼层好，前面无遮挡视野开阔。房主自荐,435万,2室1厅 | 79.37平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_T87Fn26tV_1.jpg.296x216.jpg
20201223,徐汇,华东理工,全明大一房，采光充足南北通风效果佳房主自荐,283万,1室1厅 | 50.7平米 | 南 | 精装 | 高楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XiHxrJP3y_1.jpg.296x216.jpg
20201223,徐汇,华东理工,四楼，华东理工大学，满五唯一，全明户型，精装修，房主自荐,345万,2室1厅 | 52.64平米 | 南 北 | 精装 | 中楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VqNNKAZ9O_1.jpg.296x216.jpg
20201223,徐汇,华东理工,全国文明小区+精装修+中间位置+业主诚意+置换卖房房主自荐,226万,1室1厅 | 40.07平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/09c61dab-4fe5-449a-9902-32c7741e8c53_1000.jpg.296x216.jpg
20201223,徐汇,华东理工,陇南小区居家装修全明   拎包入住大一房房主自荐,246万,1室1厅 | 47.64平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BvcbYg4NI_1.jpg.296x216.jpg
20201223,徐汇,华东理工,店长力荐 近地铁 低楼层 满五唯一房主自荐,320万,1室1厅 | 52.57平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZVPJqvvVq_1.jpg.296x216.jpg
20201223,徐汇,华东理工,边套全明+一梯两户+采光好+诚意出售价格可谈房主自荐,249万,1室1厅 | 47.73平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KPEHJ9mAN_1.jpg.296x216.jpg
20201223,徐汇,华东理工,小区位置好，楼层佳。采光无遮挡，得房率高，商圈成熟,510万,2室1厅 | 79.56平米 | 南 | 简装 | 中楼层(共18层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_YPsHguXtL_1.jpg.296x216.jpg
20201223,徐汇,华东理工,满五年唯一 售后公房  楼层好 一梯两户房主自荐,400万,2室1厅 | 70.28平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yn0iic1FB_1.jpg.296x216.jpg
20201223,徐汇,华东理工,中间楼层 边套 河景房 精装修 户型漂亮  业主诚心出售,293万,1室1厅 | 49.06平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tkMoLJwXA_1.jpg.296x216.jpg
20201223,徐汇,华东理工,店长力荐，中间楼层，交通便利，生活配套设施齐全房主自荐,515万,2室1厅 | 75.75平米 | 南 | 简装 | 6层 | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TJFwChsHv_1.jpg.296x216.jpg
20201223,徐汇,华东理工,书香苑 2室1厅 南,430万,2室1厅 | 67.67平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_E9DM4SZpa_1.jpg.296x216.jpg
20201223,徐汇,华东理工,梅陇七村 精装修   看房方便 配套齐全,280万,2室1厅 | 49.33平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sVHkgnrva_1.jpg.296x216.jpg
20201223,徐汇,华东理工,15号线地铁口，大一房，满五唯一，没个税 看房方便,280万,1室1厅 | 55.93平米 | 南 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_M6Rzq6c7U_1.jpg.296x216.jpg
20201223,徐汇,华东理工,双南两房、满五唯一、视野开阔、99年商品房房主自荐,430万,2室1厅 | 74.62平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MjtaVoXDj_1.jpg.296x216.jpg
20201223,徐汇,华东理工,15号线，正气一房，低单价，诚心出售,291万,1室1厅 | 60.46平米 | 南 | 其他 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jYixBYr5r_1.jpg.296x216.jpg
