20201223,普陀,甘泉宜川,志丹路181弄 2室1厅 南 北,305万,2室1厅 | 55.92平米 | 南 北 | 简装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dDY8cGsfL_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,满五唯一，天井搭了一半，位置安静，交通便利,320万,2室1厅 | 55.22平米 | 南 | 精装 | 低楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fm8ekz0wm_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,精装修，房龄新，业主诚意出售。南北通，总价低！,157万,1室0厅 | 28.23平米 | 南 | 简装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wjpJI41Dk_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,近地铁交通方便 文明小区 双南2房非顶楼，看房方便房主自荐,270万,2室1厅 | 45.98平米 | 南 | 简装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NYRz7ZSSs_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,宜川六村低六层两房一厅，居家装修，通风好，采光好房主自荐,273万,2室1厅 | 53.94平米 | 南 | 简装 | 低楼层(共7层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BQT5JOcai_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,内环内 一房一厅 精装修 无增值税  34号线中潭线房主自荐,255万,1室1厅 | 50.18平米 | 东 | 精装 | 低楼层(共7层) | 1996年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-7c8d9ec6-068d-4351-9314-7b351ef75f03.jpg.296x216.jpg
20201223,普陀,甘泉宜川,中间楼层 前面无遮挡 视野好 看房随时有钥匙 南北户型,219万,1室1厅 | 40.6平米 | 南 | 简装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lekQSPFHR_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,电梯房高楼 品质小区 价格实惠 自带车位,950万,3室2厅 | 152.03平米 | 南 | 精装 | 高楼层(共22层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-8b209944-4dbb-4c34-b795-37cc944008e2.jpg.296x216.jpg
20201223,普陀,甘泉宜川,紧靠内环 带地下产权车位  高区采光佳 宜川唯一电梯房房主自荐,795万,2室2厅 | 105.76平米 | 南 | 精装 | 高楼层(共22层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-1368ebb6-a1e5-41b2-b651-dacfc98346c8.jpg.296x216.jpg
20201223,普陀,甘泉宜川,2002年新小区、满五不唯一，视野宽阔、采光充足房主自荐,820万,2室2厅 | 122.34平米 | 南 | 精装 | 中楼层(共22层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-a2232b94-fe22-4214-b28f-badc7990de27.jpg.296x216.jpg
20201223,普陀,甘泉宜川,业主诚意卖，价格可谈，看房方便,210万,1室1厅 | 40平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3b8d1dd6-67fe-45fd-958a-f8019d3d20de_1000.jpg.296x216.jpg
20201223,普陀,甘泉宜川,中楼层，东边套全明户型，品质小区，满五唯一,245万,1室1厅 | 41.4平米 | 南 | 精装 | 中楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5ab39667-df85-4efb-8993-5cbfde32db1f_1000.jpg.296x216.jpg
20201223,普陀,甘泉宜川,近地铁  户型简单易改动 无遮挡采光好,180万,1室1厅 | 37.69平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-0de700cc-4d4f-4527-9a2b-5b481fe5162c.jpg.296x216.jpg
