20201223,普陀,光新,03年小区精装中区大两房，满五唯一，诚意出售到价签字房主自荐,480万,2室2厅 | 80.74平米 | 西北 | 精装 | 中楼层(共25层) | 2003年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-ef98c311-838a-4328-86f1-e47a51f98b99.jpg.296x216.jpg
20201223,普陀,光新,小区在售不多的中间楼层 双南大两房 开间宽阔 采光足,410万,2室1厅 | 62.22平米 | 南 | 简装 | 中楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_RQnVyHMwy_1.jpg.296x216.jpg
20201223,普陀,光新,满五唯一，南北通，全明户型，采光充足，看房方便,190万,1室1厅 | 36.41平米 | 南 | 精装 | 高楼层(共6层) | 1976年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-fefdcbc8-0adc-4d4f-81a0-7d803a3fa534.jpg.296x216.jpg
20201223,普陀,光新,新 上房源  底楼一室半  看房方便  诚意出售房主自荐,205万,1室1厅 | 43.58平米 | 东 | 简装 | 低楼层(共7层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gAuO5j4JW_1.jpg.296x216.jpg
20201223,普陀,光新,满五年唯一，业主置换，诚意出售，看房随时约房主自荐,228万,1室1厅 | 45.2平米 | 南 | 毛坯 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4bEDzo6t9_1.jpg.296x216.jpg
20201223,普陀,光新,采光足，通风好，精装修家具家电全新，有钥匙看房方便房主自荐,208万,2室0厅 | 35.88平米 | 南 | 精装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VDRBctVik_1.jpg.296x216.jpg
20201223,普陀,光新,满五唯一 ，税费少，双南两房，中等楼层！,288万,2室1厅 | 49.11平米 | 南 | 毛坯 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZgIfcCCee_1.jpg.296x216.jpg
20201223,普陀,光新,岚皋大楼 2室1厅 东南,430万,2室1厅 | 65.32平米 | 东南 | 其他 | 中楼层(共24层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_M6SEqmrlU_1.jpg.296x216.jpg
20201223,普陀,光新,高区房源 南北户型 视野开阔 诚意出售房主自荐,230万,1室1厅 | 41.14平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HBI6UTsDK_1.jpg.296x216.jpg
20201223,普陀,光新,满五唯一 精装修两室户 出价可谈 随时可签房主自荐,255万,2室1厅 | 51.72平米 | 西北 | 精装 | 中楼层(共7层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ik4jsuCeC_1.jpg.296x216.jpg
20201223,普陀,光新,内环边品质小区,南北通三房，中区视野采光好。,888万,3室2厅 | 119.37平米 | 西南 | 精装 | 中楼层(共22层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jND3ATQaD_1.jpg.296x216.jpg
20201223,普陀,光新,正气三房户型  诚意出售  中间楼层 近地铁3.4.7号线,385万,3室1厅 | 64.97平米 | 南 | 简装 | 中楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ursVApxlU_1.jpg.296x216.jpg
20201223,普陀,光新,此房满五年，产权清晰，业主诚意出售，看房方便。,540万,2室1厅 | 97.62平米 | 南 | 简装 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_b5V8GY1od_2.jpg.296x216.jpg
20201223,普陀,光新,旬阳新村 2室1厅 南,300万,2室1厅 | 50.22平米 | 南 | 精装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JWzrAbwgH_1.jpg.296x216.jpg
20201223,普陀,光新,石泉路岚皋路交叉口，诚意卖房，价格可谈，看房方便,290万,2室1厅 | 54.61平米 | 南 | 毛坯 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XcoMkPgJi_1.jpg.296x216.jpg
